[02:59:40] 
======================================================================
[02:59:40] PHASE 1A: football-data.co.uk — Golden CSV Source
[02:59:40] ======================================================================
[02:59:40] [PROGRESS] Phase1/football-data.co.uk: RUNNING (0%) | Starting CSV download
[02:59:41]   ✅ 2526/E0: 380 rows
[02:59:42]   ✅ 2526/E1: 552 rows
[02:59:43]   ✅ 2526/E2: 552 rows
[02:59:43]   ✅ 2526/E3: 552 rows
[02:59:44]   ✅ 2526/EC: 552 rows
[02:59:45]   ✅ 2526/SC0: 228 rows
[02:59:45]   ✅ 2526/SC1: 180 rows
[02:59:45]   ✅ 2526/SC2: 180 rows
[02:59:46]   ✅ 2526/SC3: 180 rows
[02:59:46]   ✅ 2526/D1: 306 rows
[02:59:47]   ✅ 2526/D2: 306 rows
[02:59:48]   ✅ 2526/SP1: 380 rows
[02:59:48]   ✅ 2526/SP2: 462 rows
[02:59:49]   ✅ 2526/I1: 380 rows
[02:59:49]   ✅ 2526/I2: 380 rows
[02:59:50]   ✅ 2526/F1: 306 rows
[02:59:50]   ✅ 2526/F2: 306 rows
[02:59:51]   ✅ 2526/N1: 306 rows
[02:59:51]   ✅ 2526/B1: 311 rows
[02:59:52]   ✅ 2526/P1: 306 rows
[02:59:53]   ✅ 2526/T1: 306 rows
[02:59:53]   ✅ 2526/G1: 236 rows
[02:59:54]   ✅ 2425/E0: 380 rows
[02:59:55]   ✅ 2425/E1: 552 rows
[02:59:56]   ✅ 2425/E2: 552 rows
[02:59:56]   ✅ 2425/E3: 552 rows
[02:59:57]   ✅ 2425/EC: 552 rows
[02:59:58]   ✅ 2425/SC0: 228 rows
[02:59:58]   ✅ 2425/SC1: 180 rows
[02:59:59]   ✅ 2425/SC2: 180 rows
[02:59:59]   ✅ 2425/SC3: 180 rows
[03:00:00]   ✅ 2425/D1: 306 rows
[03:00:01]   ✅ 2425/D2: 306 rows
[03:00:01]   ✅ 2425/SP1: 380 rows
[03:00:02]   ✅ 2425/SP2: 462 rows
[03:00:03]   ✅ 2425/I1: 380 rows
[03:00:04]   ✅ 2425/I2: 380 rows
[03:00:04]   ✅ 2425/F1: 306 rows
[03:00:05]   ✅ 2425/F2: 306 rows
[03:00:05]   ✅ 2425/N1: 306 rows
[03:00:06]   ✅ 2425/B1: 312 rows
[03:00:07]   ✅ 2425/P1: 306 rows
[03:00:07]   ✅ 2425/T1: 342 rows
[03:00:08]   ✅ 2425/G1: 233 rows
[03:00:08]   ✅ 2324/E0: 380 rows
[03:00:09]   ✅ 2324/E1: 552 rows
[03:00:10]   ✅ 2324/E2: 552 rows
[03:00:10]   ✅ 2324/E3: 552 rows
[03:00:11]   ✅ 2324/EC: 552 rows
[03:00:12]   ✅ 2324/SC0: 228 rows
[03:00:12]   ✅ 2324/SC1: 180 rows
[03:00:13]   ✅ 2324/SC2: 180 rows
[03:00:13]   ✅ 2324/SC3: 180 rows
[03:00:14]   ✅ 2324/D1: 306 rows
[03:00:15]   ✅ 2324/D2: 306 rows
[03:00:15]   ✅ 2324/SP1: 380 rows
[03:00:16]   ✅ 2324/SP2: 462 rows
[03:00:17]   ✅ 2324/I1: 380 rows
[03:00:17]   ✅ 2324/I2: 380 rows
[03:00:18]   ✅ 2324/F1: 306 rows
[03:00:19]   ✅ 2324/F2: 379 rows
[03:00:19]   ✅ 2324/N1: 306 rows
[03:00:20]   ✅ 2324/B1: 312 rows
[03:00:21]   ✅ 2324/P1: 306 rows
[03:00:21]   ✅ 2324/T1: 380 rows
[03:00:22]   ✅ 2324/G1: 240 rows
[03:00:23]   ✅ 2223/E0: 380 rows
[03:00:23]   ✅ 2223/E1: 552 rows
[03:00:24]   ✅ 2223/E2: 552 rows
[03:00:25]   ✅ 2223/E3: 552 rows
[03:00:25]   ✅ 2223/EC: 552 rows
[03:00:26]   ✅ 2223/SC0: 228 rows
[03:00:26]   ✅ 2223/SC1: 180 rows
[03:00:27]   ✅ 2223/SC2: 180 rows
[03:00:27]   ✅ 2223/SC3: 180 rows
[03:00:28]   ✅ 2223/D1: 306 rows
[03:00:28]   ✅ 2223/D2: 306 rows
[03:00:29]   ✅ 2223/SP1: 380 rows
[03:00:29]   ✅ 2223/SP2: 462 rows
[03:00:30]   ✅ 2223/I1: 380 rows
[03:00:30]   ✅ 2223/I2: 380 rows
[03:00:31]   ✅ 2223/F1: 380 rows
[03:00:31]   ✅ 2223/F2: 380 rows
[03:00:32]   ✅ 2223/N1: 306 rows
[03:00:32]   ✅ 2223/B1: 306 rows
[03:00:33]   ✅ 2223/P1: 306 rows
[03:00:34]   ✅ 2223/T1: 342 rows
[03:00:34]   ✅ 2223/G1: 240 rows
[03:00:35]   ✅ 2122/E0: 380 rows
[03:00:36]   ✅ 2122/E1: 552 rows
[03:00:37]   ✅ 2122/E2: 552 rows
[03:00:37]   ✅ 2122/E3: 552 rows
[03:00:39]   ✅ 2122/EC: 506 rows
[03:00:40]   ✅ 2122/SC0: 228 rows
[03:00:40]   ✅ 2122/SC1: 180 rows
[03:00:40]   ✅ 2122/SC2: 180 rows
[03:00:41]   ✅ 2122/SC3: 180 rows
[03:00:42]   ✅ 2122/D1: 306 rows
[03:00:42]   ✅ 2122/D2: 306 rows
[03:00:43]   ✅ 2122/SP1: 380 rows
[03:00:44]   ✅ 2122/SP2: 462 rows
[03:00:44]   ✅ 2122/I1: 380 rows
[03:00:45]   ✅ 2122/I2: 380 rows
[03:00:45]   ✅ 2122/F1: 380 rows
[03:00:46]   ✅ 2122/F2: 380 rows
[03:00:46]   ✅ 2122/N1: 306 rows
[03:00:47]   ✅ 2122/B1: 306 rows
[03:00:48]   ✅ 2122/P1: 306 rows
[03:00:48]   ✅ 2122/T1: 380 rows
[03:00:49]   ✅ 2122/G1: 240 rows
[03:00:49]   ⚠ 2122/MLS: HTTP 404
[03:00:50]   ✅ 2021/E0: 380 rows
[03:00:50]   ✅ 2021/E1: 552 rows
[03:00:51]   ✅ 2021/E2: 552 rows
[03:00:52]   ✅ 2021/E3: 552 rows
[03:00:52]   ✅ 2021/EC: 477 rows
[03:00:53]   ✅ 2021/SC0: 228 rows
[03:00:53]   ✅ 2021/SC1: 135 rows
[03:00:53]   ✅ 2021/SC2: 110 rows
[03:00:54]   ✅ 2021/SC3: 110 rows
[03:00:54]   ✅ 2021/D1: 306 rows
[03:00:55]   ✅ 2021/D2: 306 rows
[03:00:56]   ✅ 2021/SP1: 380 rows
[03:00:56]   ✅ 2021/SP2: 462 rows
[03:00:57]   ✅ 2021/I1: 380 rows
[03:00:58]   ✅ 2021/I2: 380 rows
[03:00:58]   ✅ 2021/F1: 380 rows
[03:00:59]   ✅ 2021/F2: 380 rows
[03:00:59]   ✅ 2021/N1: 306 rows
[03:01:00]   ✅ 2021/B1: 306 rows
[03:01:00]   ✅ 2021/P1: 306 rows
[03:01:01]   ✅ 2021/T1: 420 rows
[03:01:02]   ✅ 2021/G1: 240 rows
[03:01:03]   ✅ 1920/E0: 380 rows
[03:01:04]   ✅ 1920/E1: 552 rows
[03:01:05]   ✅ 1920/E2: 400 rows
[03:01:06]   ✅ 1920/E3: 440 rows
[03:01:06]   ✅ 1920/EC: 451 rows
[03:01:07]   ✅ 1920/SC0: 179 rows
[03:01:07]   ✅ 1920/SC1: 137 rows
[03:01:08]   ✅ 1920/SC2: 139 rows
[03:01:08]   ✅ 1920/SC3: 137 rows
[03:01:09]   ✅ 1920/D1: 306 rows
[03:01:09]   ✅ 1920/D2: 306 rows
[03:01:10]   ✅ 1920/SP1: 380 rows
[03:01:11]   ✅ 1920/SP2: 462 rows
[03:01:11]   ✅ 1920/I1: 380 rows
[03:01:12]   ✅ 1920/I2: 380 rows
[03:01:12]   ✅ 1920/F1: 279 rows
[03:01:13]   ✅ 1920/F2: 280 rows
[03:01:13]   ✅ 1920/N1: 232 rows
[03:01:14]   ✅ 1920/B1: 232 rows
[03:01:16]   ✅ 1920/P1: 306 rows
[03:01:16]   ✅ 1920/T1: 306 rows
[03:01:17]   ✅ 1920/G1: 240 rows
[03:01:17]   ✅ 1819/E0: 380 rows
[03:01:18]   ✅ 1819/E1: 552 rows
[03:01:18]   ✅ 1819/E2: 552 rows
[03:01:19]   ✅ 1819/E3: 552 rows
[03:01:19]   ✅ 1819/EC: 552 rows
[03:01:20]   ✅ 1819/SC0: 228 rows
[03:01:20]   ✅ 1819/SC1: 180 rows
[03:01:21]   ✅ 1819/SC2: 180 rows
[03:01:21]   ✅ 1819/SC3: 180 rows
[03:01:22]   ✅ 1819/D1: 306 rows
[03:01:22]   ✅ 1819/D2: 306 rows
[03:01:23]   ✅ 1819/SP1: 380 rows
[03:01:24]   ✅ 1819/SP2: 462 rows
[03:01:24]   ✅ 1819/I1: 380 rows
[03:01:25]   ✅ 1819/I2: 342 rows
[03:01:25]   ✅ 1819/F1: 380 rows
[03:01:25]   ✅ 1819/F2: 380 rows
[03:01:26]   ✅ 1819/N1: 306 rows
[03:01:26]   ✅ 1819/B1: 240 rows
[03:01:27]   ✅ 1819/P1: 306 rows
[03:01:27]   ✅ 1819/T1: 306 rows
[03:01:28]   ✅ 1819/G1: 240 rows
[03:01:29]   ✅ 1718/E0: 380 rows
[03:01:30]   ✅ 1718/E1: 552 rows
[03:01:30]   ✅ 1718/E2: 552 rows
[03:01:31]   ✅ 1718/E3: 552 rows
[03:01:32]   ✅ 1718/EC: 552 rows
[03:01:32]   ✅ 1718/SC0: 228 rows
[03:01:33]   ✅ 1718/SC1: 180 rows
[03:01:33]   ✅ 1718/SC2: 180 rows
[03:01:34]   ✅ 1718/SC3: 180 rows
[03:01:34]   ✅ 1718/D1: 306 rows
[03:01:34]   ✅ 1718/D2: 306 rows
[03:01:35]   ✅ 1718/SP1: 380 rows
[03:01:36]   ✅ 1718/SP2: 462 rows
[03:01:36]   ✅ 1718/I1: 380 rows
[03:01:37]   ✅ 1718/I2: 462 rows
[03:01:38]   ✅ 1718/F1: 380 rows
[03:01:38]   ✅ 1718/F2: 380 rows
[03:01:38]   ✅ 1718/N1: 306 rows
[03:01:39]   ✅ 1718/B1: 240 rows
[03:01:39]   ✅ 1718/P1: 306 rows
[03:01:40]   ✅ 1718/T1: 306 rows
